"Part";"Value";"Device";"Package";"Description";"";
"+V";"+9V(T)";"+9V(T)";"SQUARE";"+9V Voltage Supply";"";
"BASS";"A50K";"POTS9MM_MOUNTED_2MMH";"9MM_W/MOUNTS-2MMHOLES";"";"";
"BI";"IN";"PAD";"SQUARE";"PAD";"";
"BO";"OUT";"PAD";"SQUARE";"PAD";"";
"C1";"1uf";"050X030_0251";"050X030_025";"47 - 120pF";"";
"C2";"1uf";"050X030_0251";"050X030_025";"47 - 120pF";"";
"C3";"33pf";"050X030_0251";"050X030_025";"47 - 120pF";"";
"C4";"560pf";"050X030_0251";"050X030_025";"47 - 120pF";"";
"C5";"100uf";"0501";"050_020_1";"0.22 - 100uF";"";
"C6";"1uf";"050X030_0251";"050X030_025";"47 - 120pF";"";
"C7";"220N";"072X0252";"072X025";"1000pF - 0.47uF";"";
"C8";"33pf";"050X030_0251";"050X030_025";"47 - 120pF";"";
"C9";"1.2nf";"072X0252";"072X025";"1000pF - 0.47uF";"";
"C10";"2.2nf";"072X0252";"072X025";"1000pF - 0.47uF";"";
"C11";"470nf";"072X0252";"072X025";"1000pF - 0.47uF";"";
"C12";"220nf";"072X0252";"072X025";"1000pF - 0.47uF";"";
"C13";"220UF";"0501";"050_020_1";"0.22 - 100uF";"";
"C14";"33pf";"050X030_0251";"050X030_025";"47 - 120pF";"";
"C15";"22nf";"072X0252";"072X025";"1000pF - 0.47uF";"";
"C16";"220UF";"0501";"050_020_1";"0.22 - 100uF";"";
"C17";"1uf";"050X030_0251";"050X030_025";"47 - 120pF";"";
"C18";"1uf";"050X030_0251";"050X030_025";"47 - 120pF";"";
"C19";"1uf";"050X030_0251";"050X030_025";"47 - 120pF";"";
"D1";"1N4148-3";"1N4148-3";"DO35-3";"Fast Switching Diode";"";
"D2";"1N4148-3";"1N4148-3";"DO35-3";"Fast Switching Diode";"";
"D3";"1N4148-3";"1N4148-3";"DO35-3";"Fast Switching Diode";"";
"D4";"1N4148-3";"1N4148-3";"DO35-3";"Fast Switching Diode";"";
"G1";"GND(T)";"GND(T)";"SQUARE";"Ground";"";
"G2";"GND(T)";"GND(T)";"SQUARE";"Ground";"";
"G3";"GND(T)";"GND(T)";"SQUARE";"Ground";"";
"G4";"GND(T)";"GND(T)";"SQUARE";"Ground";"";
"GAIN";"B50K";"POTS9MM_MOUNTED_2MMH";"9MM_W/MOUNTS-2MMHOLES";"";"";
"IC1";"TL072D";"TL072D";"SO08";"OP AMP";"";
"IC2";"TL072D";"TL072D";"SO08";"OP AMP";"";
"IC3";"TL062D";"TL062D";"SO08";"OP AMP";"";
"IJ";"";"PAD8";"OCTOGON";"PAD";"";
"IN";"";"PAD8";"OCTOGON";"PAD";"";
"LEVEL";"B100K";"POTS9MM_MOUNTED_2MMH";"9MM_W/MOUNTS-2MMHOLES";"";"";
"MID";"B1K";"POTS9MM_MOUNTED_2MMH";"9MM_W/MOUNTS-2MMHOLES";"";"";
"OJ";"";"PAD8";"OCTOGON";"PAD";"";
"OUT";"";"PAD8";"OCTOGON";"PAD";"";
"Q1";"J201SMD";"J201SMD";"SOT23";"N-channel JFET";"";
"R1";"1.5M";"3MM.2";"R0204/2";"3mm Resistors";"";
"R2";"1M";"3MM.2";"R0204/2";"3mm Resistors";"";
"R3";"100K";"3MM.2";"R0204/2";"3mm Resistors";"";
"R4";"3.3K";"3MM.2";"R0204/2";"3mm Resistors";"";
"R5";"6.8K";"3MM.2";"R0204/2";"3mm Resistors";"";
"R6";"820";"3MM.2";"R0204/2";"3mm Resistors";"";
"R7";"100K";"3MM.2";"R0204/2";"3mm Resistors";"";
"R8";"10K";"3MM.2";"R0204/2";"3mm Resistors";"";
"R9";"22K";"3MM.2";"R0204/2";"3mm Resistors";"";
"R10";"47K";"3MM.2";"R0204/2";"3mm Resistors";"";
"R11";"6.8k";"3MM.2";"R0204/2";"3mm Resistors";"";
"R12";"8.2k";"3MM.2";"R0204/2";"3mm Resistors";"";
"R13";"100k";"3MM.2";"R0204/2";"3mm Resistors";"";
"R14";"820";"3MM.2";"R0204/2";"3mm Resistors";"";
"R15";"1M";"3MM.2";"R0204/2";"3mm Resistors";"";
"R16";"47K";"3MM.2";"R0204/2";"3mm Resistors";"";
"R17";"15k";"3MM.2";"R0204/2";"3mm Resistors";"";
"R18";"1M";"3MM.2";"R0204/2";"3mm Resistors";"";
"R19";"2.2k";"3MM.2";"R0204/2";"3mm Resistors";"";
"R20";"2.2k";"3MM.2";"R0204/2";"3mm Resistors";"";
"R21";"4.7k";"3MM.2";"R0204/2";"3mm Resistors";"";
"R22";"15k";"3MM.2";"R0204/2";"3mm Resistors";"";
"R23";"2.2k";"3MM.2";"R0204/2";"3mm Resistors";"";
"R24";"1m";"3MM.2";"R0204/2";"3mm Resistors";"";
"R25";"1k";"3MM.2";"R0204/2";"3mm Resistors";"";
"R26";"10K";"3MM.2";"R0204/2";"3mm Resistors";"";
"TREBLE";"B25K";"POTS9MM_MOUNTED_2MMH";"9MM_W/MOUNTS-2MMHOLES";"";"";
"V";"+9V(T)";"+9V(T)";"SQUARE";"+9V Voltage Supply";"";
